s_large,energy_large,s_small,energy_small
0.01,296.82729300474944,0.001,292.57557174474175
0.01183673469387755,296.31791072646826,0.0011836734693877551,292.8967635144993
0.013673469387755103,295.8911330752446,0.0013673469387755102,292.8280288963241
0.015510204081632653,301.1768852324471,0.0015510204081632655,292.6413688619765
0.017346938775510204,297.72219390260585,0.0017346938775510204,293.43220321989975
0.019183673469387756,297.2401868924326,0.0019183673469387757,293.33703468839366
0.02102040816326531,300.81648397840354,0.002102040816326531,293.201991275823
0.02285714285714286,303.74834802982963,0.002285714285714286,292.84969130414066
0.02469387755102041,312.71078327222915,0.0024693877551020408,293.67422639300804
0.026530612244897958,302.7171217217687,0.002653061224489796,294.1323190155657
0.02836734693877551,300.07083205563885,0.0028367346938775514,294.11480596745145
0.030204081632653063,297.11573759460293,0.0030204081632653063,293.51681360884385
0.032040816326530615,320.06361069534614,0.0032040816326530616,293.3649404899959
0.03387755102040817,295.69501680578736,0.0033877551020408164,293.3178976417183
0.03571428571428572,306.00547799672825,0.0035714285714285718,293.2379760852986
0.037551020408163265,310.49824751485386,0.0037551020408163266,293.0217574251297
0.03938775510204082,319.3845073462776,0.003938775510204082,293.7538350591234
0.04122448979591837,308.47090863866714,0.004122448979591837,294.00972550972597
0.04306122448979592,322.9964358569175,0.004306122448979592,295.0530322982298
0.04489795918367347,309.76929633572286,0.004489795918367347,294.9921143998753
0.046734693877551026,314.4315849855067,0.004673469387755102,293.34032672280034
0.04857142857142858,304.4702457115812,0.004857142857142858,292.8253296105926
0.05040816326530613,295.14985914838536,0.0050408163265306125,292.6940346203289
0.052244897959183675,316.66619831091765,0.005224489795918367,294.06623902281876
0.05408163265306123,319.14158204172645,0.005408163265306123,295.06852558862926
0.05591836734693878,298.0481073500108,0.005591836734693878,295.4001328713787
0.05775510204081633,325.2944894326554,0.005775510204081633,294.78783483558124
0.059591836734693884,315.6404549438351,0.005959183673469389,295.31274701976866
0.06142857142857144,311.8956308256983,0.0061428571428571435,293.1569513477041
0.06326530612244897,342.4361813241297,0.006326530612244898,295.23574658861327
0.06510204081632653,322.9232425120541,0.006510204081632653,294.1952887324934
0.06693877551020408,324.5425394741367,0.006693877551020409,297.4398114598108
0.06877551020408164,308.16369880436736,0.006877551020408164,295.51053558016883
0.07061224489795918,313.7629696588811,0.007061224489795919,297.2883631892074
0.07244897959183674,331.9838608679395,0.0072448979591836745,297.04885127355084
0.07428571428571429,327.2397556581626,0.007428571428571429,293.73559243146923
0.07612244897959183,318.2250722881667,0.007612244897959184,294.96621152014376
0.07795918367346939,325.15164412560364,0.007795918367346939,295.77981331840607
0.07979591836734694,303.3800458864768,0.007979591836734695,294.5477030820067
0.08163265306122448,301.63229045997673,0.00816326530612245,295.6262349685057
0.08346938775510204,336.7781766226276,0.008346938775510205,294.33396143982793
0.08530612244897959,337.78036629584983,0.00853061224489796,297.91368829287484
0.08714285714285715,330.5124980965269,0.008714285714285716,295.5390639929429
0.08897959183673469,341.3261407962085,0.00889795918367347,294.6858150936089
0.09081632653061225,320.1738284350049,0.009081632653061226,294.3040618850513
0.0926530612244898,312.5421876677234,0.009265306122448979,296.6856770587181
0.09448979591836734,311.99419169855867,0.009448979591836736,297.314796557182
0.0963265306122449,298.4433829939709,0.009632653061224492,297.28335449896747
0.09816326530612245,361.5621275249293,0.009816326530612245,297.43924206762426
0.1,342.03171591132696,0.01,296.82729300474944
