s,pi/2,pi/3,pi/4,pi/5,pi/6,pi/7,pi/8,pi/9,pi/10
0.01,108.30256883381139,117.992112808905,114.59438364410896,114.84605184525442,132.26251350612338,176.97140165877133,233.9740408559672,298.86577515348733,371.6110364637182
0.010816326530612244,109.16618895585246,119.69346864475581,114.54205152028189,114.10533857738386,132.85244713744092,176.89472021596958,233.82503167031058,298.65793408754496,371.25878834983337
0.01163265306122449,109.04232642069368,119.9565193641967,116.75712191280158,115.50321573127249,132.33522501819002,176.78128270527606,233.7745286078505,298.51433684131314,371.1282343267296
0.012448979591836735,109.63423082174674,118.29952617786967,117.7902890226988,116.41994911491983,132.80695184506223,176.6038304407265,233.54367962483832,298.1633001145468,370.6320862522101
0.013265306122448979,107.96777605812834,120.85291788032876,116.95452065200519,115.75516398880325,131.74431958161335,176.54222951224978,233.5001012507607,298.08684115100635,370.5141477970307
0.014081632653061225,109.3432362494468,121.0252947725336,117.42450831907311,117.22443295800102,132.75720512194545,176.48257088846515,233.29202609240883,298.0355143931577,370.4341611303637
0.01489795918367347,110.10694869489998,118.2438325363526,114.89512305395962,116.40680975219863,132.7623899478085,176.330996572277,233.0675748882367,297.7859858847793,370.0521614975912
0.015714285714285715,109.06090750051013,119.85805274568156,118.14871619102117,116.60497804389453,132.11961269305786,176.30428555058637,233.00518136269025,297.67313719501686,369.9188581002031
0.01653061224489796,108.99055455225324,118.11823969080996,118.00973667512817,114.60583114554626,131.85409902492634,176.17035439528308,232.9650357866136,297.358342573038,370.0746814912195
0.017346938775510204,109.34713858014632,121.31303793395104,118.70914606045238,116.56930402281688,132.097635284592,176.00584334175937,232.71098087932006,297.1837388296917,369.6188633866443
0.01816326530612245,111.03256222088311,120.68527624158287,120.09519652204537,116.45696790679536,132.89568449599508,176.07188602565674,232.60613213272487,297.09251188799504,369.32731699055375
0.018979591836734692,109.56514367477524,120.35085007279841,116.97124716207165,116.66478539712304,132.52596754544257,175.94647763445911,232.31863774527338,296.61953332219974,369.09708464430815
0.01979591836734694,111.85334641656883,120.77348792979086,120.50711433171512,117.26426972805122,132.00011683852617,175.7673960208655,232.55417250045267,296.9065795025309,369.1255595332741
0.020612244897959184,111.38223505659934,120.92285946813237,118.57741734927035,119.38808867590657,132.20274205655144,175.76004901925143,232.37963921383724,296.7937727999282,369.02735729601045
0.02142857142857143,108.85172930072203,122.07928579669402,117.21842321115219,116.47681167766295,132.51795399613286,175.5428550532427,232.15282655674477,296.43029313079643,368.1015803702629
0.022244897959183677,111.37422205242137,117.91016920526913,117.06823699250307,113.93750133616633,130.67687368133042,175.57239573498293,231.97469926966042,296.1890575819024,368.69992082427916
0.023061224489795917,110.29953764438379,119.38792458488595,116.09729646308026,118.09838796193606,131.84196416555145,175.41779302007018,231.91510401194793,295.9560561345874,367.5294012892225
0.023877551020408165,109.84514522290112,121.5079003537248,116.58066191969877,117.05850733068155,132.87573222233942,175.32525640323104,231.8395286273171,295.9402446334306,367.23388524065217
0.02469387755102041,109.59499610207905,117.32335806319412,117.09774297164873,116.0667424584502,132.326064096239,175.3236605671075,231.8764282289162,295.9633495035491,368.05625122695943
0.025510204081632654,112.13278539860644,120.10212840124213,117.9517274777545,115.22299243280776,131.3374788323344,174.9816427005195,231.31265141471658,294.9988614888302,367.19924541678995
0.0263265306122449,111.33451982822058,123.65602591704541,120.3600256292458,114.75568168423351,130.58021719079474,175.24648401893188,231.52189045608583,295.7941318656886,367.0893286427477
0.027142857142857142,110.721501828731,119.95176697550978,113.86341608267051,115.47534724676919,133.42090933994479,174.9194889605842,231.03640790176533,295.2772825560661,366.7967192101012
0.02795918367346939,109.61366497089399,124.01252983866826,116.45287322042023,116.60550854882722,132.52318017901055,174.7760495188243,230.93390560126528,294.6039092674412,366.4399591506792
0.02877551020408163,109.19294092879562,120.56721141306133,119.89199842967173,116.5774183901628,132.65672212003307,174.62876380063315,230.88117625417507,294.44964939604705,366.4732122520482
0.02959183673469388,108.92525751670387,124.88875116632715,122.76590351758693,118.0513309369516,133.06520475288085,174.62039398858192,230.8233133911162,294.46676691023066,366.08041846823534
0.030408163265306126,111.88600427855083,121.78267177784008,117.81338547492743,114.12987783402555,130.08543047331315,174.40378310462452,230.78409282702606,294.06913493431654,365.94629188669524
0.031224489795918367,111.93417152890682,118.82055628067792,121.69046752682867,115.8353841410916,133.9477859146278,174.55289559472416,230.5074070876914,294.6897793088002,366.23834250240037
0.032040816326530615,112.55960412846953,124.04245189086267,116.00968809757904,117.84779244853503,131.27609663337296,174.0015245521778,230.30507465643015,294.17564832283887,365.41594826864434
0.032857142857142856,110.91700487374301,121.27641538848945,121.17554623442396,112.48838077089759,131.95714835801004,174.3527793899777,230.59084960051018,293.62920070170793,365.8710396922378
0.0336734693877551,111.35625769322884,118.04491952793467,116.4970745143985,116.40176685639406,132.687712359892,173.90519907720795,229.6818865597449,293.7993259618419,364.26694877495066
0.03448979591836735,110.28330219654539,124.30923011274814,121.14826046128474,118.97609923788863,130.5841978229031,174.24284463048664,230.42547798578136,293.88220315751624,366.0660000186053
0.03530612244897959,109.90978455723182,121.68550613252584,117.19610063428759,114.90458751959972,131.78104830516082,173.63647909972372,229.53827377533773,293.1512552288453,364.30177403288565
0.03612244897959184,110.34700810835908,118.8886910900234,123.62051575140441,117.76495080748742,132.79517434714518,173.8397039186334,229.59927593088543,293.31699351849704,363.7128267794131
0.03693877551020408,115.6383967983821,126.13337877345734,118.60345248134993,113.93283705987842,130.60884459095757,173.73505521797708,229.76542525281957,292.6742639849316,364.746238460943
0.03775510204081633,113.07665920883794,123.69213813216801,114.89660731375736,119.20697729747627,132.6936778340531,173.58666557438534,229.98892849102012,293.407161137797,365.36601288807276
0.038571428571428576,112.67240632167048,121.00791283743487,123.0239711244289,115.2301010619459,130.18935680783216,173.45927900575785,229.64488152959592,292.96362698492385,364.498498572799
0.03938775510204082,112.37885349756439,118.19678293707128,119.19977380744558,118.92018597296027,131.74244685588636,173.3090421418377,228.81579198189448,292.69018595862605,363.2377479514263
0.040204081632653065,111.92560283244273,127.21909473830917,115.42474607003082,114.79670204305371,129.60760582134134,173.40154791034658,228.5381925916817,292.81789143303723,362.99854104991755
0.041020408163265305,111.18946427534941,124.7963733610144,122.30125699224601,110.8999353189297,131.88289280258533,173.28387544728366,228.80609089160964,292.58327255207706,362.6128501843949
0.04183673469387755,111.01056319819406,122.68849794977982,118.88422991823234,116.87551325286493,129.6562347601135,173.47852298110035,228.38244011113653,292.55464242780005,362.7762569313615
0.0426530612244898,111.00892339116142,120.27390755529196,116.16029769060168,113.31235965226894,132.5634282298077,173.19074852355328,228.44859817419598,292.57053883269015,362.9755514726136
0.04346938775510204,113.41260615656759,129.25021387020587,124.35953557775743,119.57360195954374,135.66046699118084,173.32067060691674,228.3461844420058,292.71065849795417,364.20540043424455
